name,building,capacity
3-21,Physics Pavilion,41
Lecture Hall 199,Computer Science Building,222
Studio M-9,Psychology Building,31
Lecture Hall 268,Education Hall,280
Lecture Hall 213,Health Sciences Center,118
5-07,Physics Pavilion,21
Lecture Hall 147,Law School,217
Seminar 235,Music & Performing Arts,16
5-31,Athletics Complex,19
Lab 52E,Biology Annex,13
Lab 31B,Psychology Building,20
Lecture Hall 173,Music & Performing Arts,289
Lab 36,Library West,19
Lab 57M,Physics Pavilion,25
1-13,Medical Research Building,32
Seminar 479,Mathematics Tower,17
Lab 8,Innovation Hub,14
Studio P-5,Library West,31
Lecture Hall 89,Law School,129
Lecture Hall 128,Mathematics Tower,88
Lecture Hall 185,Education Hall,260
Lab 48R,Mathematics Tower,15
Lab 48S,Engineering Center,17
5-23,Athletics Complex,29
Lab 12,Biology Annex,24
Lecture Hall 293,Science Hall,279
Lab 29,Mathematics Tower,20
Studio A-1,Health Sciences Center,30
2-01,Physics Pavilion,25
3-18,Humanities Hall,31
Seminar 254,Psychology Building,20
4-07,Innovation Hub,18
3-19,Innovation Hub,27
Seminar 132,Chemistry Complex,15
Lab 39,Humanities Hall,28
Lecture Hall 207,Business Center,249
2-02,Art & Design Studios,38
Lab 34Q,Athletics Complex,24
6-13,Science Hall,28
5-31,Business Center,39
Studio K-6,Music & Performing Arts,32
Lab 13,Biology Annex,20
Lecture Hall 172,Data Science Institute,247
Lab 46H,Computer Science Building,25
Lab 34V,Art & Design Studios,26
Seminar 127,Chemistry Complex,23
5-05,Law School,33
Studio D-13,Mathematics Tower,31
Seminar 127,Library West,23
Lecture Hall 103,Physics Pavilion,167
4-10,Health Sciences Center,28
Lecture Hall 250,Biology Annex,165
Lab 8A,Biology Annex,20
Lecture Hall 296,Mathematics Tower,275
Seminar 502,Biology Annex,22
Lecture Hall 223,Computer Science Building,242
Seminar 319,Health Sciences Center,17
Lecture Hall 20,Psychology Building,216
Lab 2,Mathematics Tower,12
6-16,Engineering Center,25
Lab 17D,Music & Performing Arts,28
Lab 22,Law School,21
Seminar 472,Library West,18
Studio M-14,Medical Research Building,19
Seminar 283,Art & Design Studios,22
Lecture Hall 207,Mathematics Tower,84
Lab 17,Business Center,30
Lecture Hall 64,Innovation Hub,173
Seminar 548,Science Hall,20
Studio W-2,Humanities Hall,34
1-02,Science Hall,19
Seminar 327,Chemistry Complex,16
Studio J-16,Chemistry Complex,19
6-01,Mathematics Tower,27
1-34,Health Sciences Center,26
6-09,Medical Research Building,31
Studio W-4,Chemistry Complex,24
Lecture Hall 255,Chemistry Complex,130
Lab 34,Medical Research Building,23
Lab 21B,Health Sciences Center,18
Lab 31,Athletics Complex,14
6-32,Chemistry Complex,22
Studio C-4,Computer Science Building,23
Seminar 251,Business Center,14
Lecture Hall 52,Education Hall,288
Lecture Hall 149,Biology Annex,172
Seminar 478,Art & Design Studios,11
Lecture Hall 5,Chemistry Complex,298
6-11,Physics Pavilion,28
Seminar 589,Music & Performing Arts,19
Lecture Hall 191,Humanities Hall,288
Lecture Hall 59,Art & Design Studios,182
Seminar 239,Psychology Building,23
Seminar 509,Psychology Building,16
Lecture Hall 68,Biology Annex,258
Lecture Hall 54,Science Hall,186
Seminar 510,Law School,19
Lecture Hall 195,Education Hall,279
1-09,Music & Performing Arts,33
Lecture Hall 211,Athletics Complex,192
Lecture Hall 134,Science Hall,247
Lecture Hall 269,Art & Design Studios,276
2-22,Law School,34
1-28,Innovation Hub,39
6-25,Business Center,22
1-01,Data Science Institute,38
Studio S-16,Biology Annex,20
Seminar 264,Computer Science Building,13
Lab 7,Art & Design Studios,29
Seminar 518,Psychology Building,13
Seminar 327,Computer Science Building,22
Seminar 145,Law School,23
Seminar 261,Athletics Complex,11
1-07,Athletics Complex,30
Lecture Hall 286,Health Sciences Center,220
Lecture Hall 156,Engineering Center,210
Lab 59M,Data Science Institute,13
Seminar 269,Business Center,18
4-24,Medical Research Building,40
Lecture Hall 50,Education Hall,274
Lab 38U,Business Center,15
Lecture Hall 253,Science Hall,115
Lecture Hall 131,Health Sciences Center,236
Lab 16,Mathematics Tower,26
Lab 14,Mathematics Tower,30
Seminar 334,Chemistry Complex,20
Studio E-16,Law School,15
Lecture Hall 284,Innovation Hub,190
Seminar 573,Law School,18
2-09,Biology Annex,21
5-21,Psychology Building,34
Seminar 411,Psychology Building,24
Lab 51M,Business Center,26
Lecture Hall 212,Physics Pavilion,234
Lab 71,Innovation Hub,18
6-19,Mathematics Tower,39
2-12,Music & Performing Arts,34
3-08,Data Science Institute,42
Studio S-19,Music & Performing Arts,33
6-35,Health Sciences Center,27
Lecture Hall 268,Health Sciences Center,107
Seminar 174,Engineering Center,10
Lab 35F,Science Hall,20
Lab 70B,Physics Pavilion,26
6-15,Chemistry Complex,41
Seminar 221,Data Science Institute,18
1-25,Library West,30
3-04,Health Sciences Center,18
6-24,Humanities Hall,42
Studio W-7,Law School,21
Seminar 190,Library West,20
Lecture Hall 89,Computer Science Building,268
Lecture Hall 194,Innovation Hub,90
Lab 72,Health Sciences Center,17
Lab 1M,Law School,16
Lecture Hall 166,Science Hall,232
5-20,Science Hall,33
Studio N-3,Law School,25
Lab 24,Innovation Hub,28
Seminar 378,Biology Annex,18
Lecture Hall 179,Psychology Building,136
3-22,Mathematics Tower,29
Lab 80T,Library West,29
Lecture Hall 178,Engineering Center,194
5-16,Business Center,19
Seminar 568,Art & Design Studios,22
Seminar 231,Chemistry Complex,18
Lecture Hall 265,Library West,290
Studio T-15,Music & Performing Arts,30
Lab 25,Science Hall,15
Studio U-1,Biology Annex,35
Lab 28Z,Computer Science Building,15
Studio Q-3,Mathematics Tower,19
Seminar 467,Engineering Center,15
Lecture Hall 38,Science Hall,93
Lab 72,Biology Annex,20
Seminar 330,Health Sciences Center,20
Seminar 261,Psychology Building,10
1-35,Psychology Building,18
Lecture Hall 300,Medical Research Building,91
Lab 65D,Computer Science Building,21
Lecture Hall 145,Medical Research Building,275
Seminar 302,Education Hall,23
Seminar 180,Engineering Center,18
Lecture Hall 201,Business Center,283
Lab 19K,Data Science Institute,12
Studio E-4,Data Science Institute,16
5-26,Engineering Center,35
Lecture Hall 157,Data Science Institute,133
Lab 53,Music & Performing Arts,17
Lab 79,Biology Annex,15
5-04,Biology Annex,45
Seminar 430,Data Science Institute,18
Lab 9,Computer Science Building,18
Seminar 587,Law School,15
Lecture Hall 121,Music & Performing Arts,105
1-13,Library West,28
Seminar 268,Athletics Complex,19
2-24,Library West,43
Seminar 186,Art & Design Studios,10
Lab 29X,Art & Design Studios,20
Lecture Hall 170,Music & Performing Arts,202
Seminar 283,Education Hall,22
Seminar 382,Library West,11
5-06,Biology Annex,44
Lecture Hall 276,Humanities Hall,130
1-05,Humanities Hall,18
1-26,Innovation Hub,42
Lab 5U,Law School,29
Seminar 434,Data Science Institute,22
Lab 51H,Physics Pavilion,16
Studio T-3,Education Hall,27
Studio A-8,Music & Performing Arts,34
Studio E-15,Biology Annex,20
Seminar 580,Biology Annex,15
Lab 63,Science Hall,20
Lab 6,Music & Performing Arts,28
Seminar 340,Music & Performing Arts,24
Lecture Hall 21,Education Hall,246
Lecture Hall 267,Art & Design Studios,242
Lab 75,Humanities Hall,24
Lab 76,Psychology Building,28
Seminar 598,Humanities Hall,24
Studio P-12,Business Center,26
Seminar 554,Athletics Complex,19
Studio E-15,Engineering Center,20
Lecture Hall 264,Business Center,244
Lab 20,Humanities Hall,23
Lecture Hall 118,Medical Research Building,186
Lecture Hall 247,Art & Design Studios,252
Seminar 207,Athletics Complex,19
4-02,Biology Annex,25
2-09,Science Hall,38
Lecture Hall 29,Innovation Hub,122
Lecture Hall 265,Humanities Hall,183
6-02,Medical Research Building,41
Lecture Hall 111,Library West,194
Seminar 544,Medical Research Building,17
Lab 53,Biology Annex,30
6-33,Biology Annex,26
3-30,Biology Annex,37
Lecture Hall 118,Law School,176
Lecture Hall 56,Psychology Building,84
Studio T-14,Mathematics Tower,19
Lecture Hall 91,Medical Research Building,201
1-35,Medical Research Building,34
Lecture Hall 247,Chemistry Complex,248
5-01,Physics Pavilion,42
Studio Q-12,Health Sciences Center,16
Seminar 217,Innovation Hub,22
Seminar 279,Athletics Complex,19
Lecture Hall 218,Law School,114
Seminar 492,Humanities Hall,13
Lab 77U,Computer Science Building,20
Lecture Hall 4,Mathematics Tower,227
Lecture Hall 267,Innovation Hub,81
2-21,Psychology Building,31
Lecture Hall 80,Music & Performing Arts,189
Lab 34U,Law School,30
3-26,Music & Performing Arts,42
Seminar 382,Mathematics Tower,22
Seminar 191,Data Science Institute,15
Studio S-9,Data Science Institute,24
Lab 51,Law School,19
Lab 66P,Education Hall,29
Lecture Hall 200,Medical Research Building,242
Lecture Hall 75,Engineering Center,200
Seminar 145,Medical Research Building,11
Lab 48,Humanities Hall,24
6-34,Psychology Building,27
Lecture Hall 90,Medical Research Building,243
Seminar 105,Athletics Complex,13
Lab 25,Innovation Hub,17
Lab 31,Science Hall,17
Lab 52N,Computer Science Building,24
Lab 67,Law School,14
Lab 72V,Data Science Institute,23
Seminar 394,Humanities Hall,10
Lecture Hall 209,Humanities Hall,209
Studio C-17,Chemistry Complex,24
Lecture Hall 263,Art & Design Studios,145
3-29,Data Science Institute,30
Seminar 494,Law School,13
Seminar 448,Art & Design Studios,17
Lecture Hall 247,Law School,109
Lecture Hall 196,Humanities Hall,242
6-15,Business Center,43
Seminar 589,Art & Design Studios,15
Studio A-9,Innovation Hub,22
Lecture Hall 205,Library West,252
Lecture Hall 284,Art & Design Studios,125
Lab 46G,Athletics Complex,17
Seminar 477,Mathematics Tower,13
Lab 34,Business Center,18
3-10,Business Center,42
Lecture Hall 41,Chemistry Complex,253
1-35,Athletics Complex,19
Lab 80M,Athletics Complex,30
Seminar 193,Humanities Hall,22
Lab 51,Innovation Hub,13
Seminar 344,Innovation Hub,18
Studio N-13,Science Hall,20
Lecture Hall 266,Education Hall,197
Lecture Hall 7,Art & Design Studios,252
Seminar 397,Mathematics Tower,11
Lab 79,Art & Design Studios,29
Lab 35S,Humanities Hall,23
Seminar 317,Biology Annex,13
Lab 47P,Health Sciences Center,26
2-15,Biology Annex,44
Lab 31U,Chemistry Complex,24
Lecture Hall 77,Mathematics Tower,201
Lecture Hall 216,Engineering Center,207
5-35,Physics Pavilion,41
Seminar 253,Art & Design Studios,14
1-26,Data Science Institute,21
Lecture Hall 111,Biology Annex,288
Seminar 529,Humanities Hall,20
Seminar 481,Chemistry Complex,15
Lab 47U,Humanities Hall,23
Seminar 162,Engineering Center,15
Lab 74,Medical Research Building,21
Lab 66S,Music & Performing Arts,14
3-30,Psychology Building,38
Lecture Hall 173,Physics Pavilion,187
4-05,Medical Research Building,20
Lab 30M,Biology Annex,21
6-26,Humanities Hall,26
Lab 76T,Education Hall,25
Lecture Hall 12,Biology Annex,112
3-06,Business Center,24
Seminar 152,Biology Annex,11
Seminar 380,Computer Science Building,10
Seminar 368,Engineering Center,22
Lecture Hall 135,Computer Science Building,238
Lecture Hall 200,Physics Pavilion,159
Lab 37,Business Center,16
Lecture Hall 15,Innovation Hub,88
Lab 61R,Music & Performing Arts,29
Lecture Hall 277,Education Hall,125
4-28,Law School,34
Lab 45,Data Science Institute,14
Lab 47Q,Education Hall,16
Lecture Hall 1,Library West,213
Lab 37,Physics Pavilion,27
Lab 2Q,Athletics Complex,19
Studio N-7,Engineering Center,28
Seminar 302,Data Science Institute,13
4-25,Biology Annex,25
Lecture Hall 217,Humanities Hall,240
Studio W-9,Business Center,24
Lab 53,Data Science Institute,17
Lab 15X,Physics Pavilion,26
Lab 3,Humanities Hall,29
Lecture Hall 53,Engineering Center,152
Lecture Hall 225,Humanities Hall,266
Lab 12,Engineering Center,27
Lab 54K,Mathematics Tower,23
Lecture Hall 170,Education Hall,100
Lecture Hall 137,Physics Pavilion,278
Lecture Hall 279,Psychology Building,200
Lab 33,Biology Annex,15
Seminar 494,Business Center,17
Lecture Hall 102,Business Center,197
Studio Z-7,Chemistry Complex,30
3-21,Psychology Building,23
Studio T-4,Science Hall,23
3-13,Athletics Complex,29
2-08,Science Hall,25
Lab 2F,Health Sciences Center,30
Seminar 504,Chemistry Complex,13
Lecture Hall 298,Engineering Center,280
2-24,Athletics Complex,42
Lab 21,Computer Science Building,22
Lecture Hall 183,Science Hall,245
Studio D-5,Physics Pavilion,30
Lab 72X,Business Center,26
Lecture Hall 194,Mathematics Tower,171
Lab 6S,Physics Pavilion,29
Studio S-7,Library West,33
Studio N-11,Biology Annex,29
5-11,Humanities Hall,20
Lecture Hall 231,Innovation Hub,155
Studio N-15,Humanities Hall,15
Seminar 475,Innovation Hub,12
3-16,Engineering Center,28
5-25,Computer Science Building,24
4-10,Innovation Hub,37
Lab 53X,Library West,15
Studio Z-3,Chemistry Complex,16
Lecture Hall 17,Physics Pavilion,131
Seminar 198,Chemistry Complex,11
6-25,Science Hall,39
Studio W-19,Athletics Complex,23
Lab 29,Science Hall,12
Seminar 510,Mathematics Tower,20
Lab 72Q,Science Hall,13
Lab 68,Medical Research Building,21
Lab 67,Computer Science Building,19
Seminar 197,Data Science Institute,13
2-12,Innovation Hub,35
Seminar 482,Data Science Institute,11
Lab 59Z,Law School,15
Lecture Hall 282,Biology Annex,182
Lab 21U,Innovation Hub,23
Studio M-12,Art & Design Studios,28
Lab 78,Health Sciences Center,24
Lab 47R,Data Science Institute,24
Lecture Hall 146,Engineering Center,232
Studio E-10,Engineering Center,15
Lab 28,Library West,20
Studio U-19,Data Science Institute,33
Lecture Hall 20,Physics Pavilion,197
Lecture Hall 71,Music & Performing Arts,147
2-15,Music & Performing Arts,26
Lecture Hall 293,Library West,182
Lab 10M,Law School,17
1-20,Athletics Complex,19
Seminar 140,Law School,22
Lab 45Q,Science Hall,15
5-01,Business Center,38
Lecture Hall 157,Psychology Building,214
Lab 65,Science Hall,13
Seminar 485,Psychology Building,19
Studio C-8,Law School,28
Seminar 175,Library West,12
Lecture Hall 244,Art & Design Studios,226
Studio P-9,Science Hall,17
Studio Q-5,Psychology Building,19
Studio G-16,Athletics Complex,27
Lab 72,Law School,19
Lab 56,Computer Science Building,15
Seminar 287,Health Sciences Center,15
Lab 45,Mathematics Tower,21
Seminar 122,Biology Annex,24
Lab 48,Business Center,15
Lab 80E,Science Hall,12
Lecture Hall 157,Art & Design Studios,195
Lecture Hall 170,Athletics Complex,133
Lab 27U,Data Science Institute,29
6-10,Athletics Complex,40
Seminar 398,Engineering Center,24
Lecture Hall 131,Innovation Hub,123
Lab 26W,Science Hall,13
1-05,Education Hall,30
Lecture Hall 10,Humanities Hall,154
Lab 49,Psychology Building,22
5-06,Athletics Complex,23
Studio R-18,Mathematics Tower,15
Lab 68K,Science Hall,27
Lecture Hall 10,Psychology Building,168
Lab 39H,Music & Performing Arts,13
Seminar 555,Humanities Hall,23
Studio J-8,Engineering Center,19
Seminar 436,Art & Design Studios,12
Seminar 366,Computer Science Building,20
6-15,Medical Research Building,31
2-28,Business Center,27
Lab 58,Medical Research Building,18
5-13,Physics Pavilion,45
Lab 68E,Physics Pavilion,16
Lecture Hall 163,Law School,97
Studio D-6,Data Science Institute,25
Lecture Hall 164,Physics Pavilion,185
Lab 57X,Health Sciences Center,16
Lecture Hall 68,Mathematics Tower,127
5-18,Engineering Center,37
2-15,Law School,25
Lab 11,Engineering Center,28
Seminar 464,Medical Research Building,20
Lecture Hall 199,Music & Performing Arts,205
Lecture Hall 84,Athletics Complex,129
Lecture Hall 210,Business Center,275
Lab 9F,Engineering Center,27
Seminar 554,Art & Design Studios,13
Seminar 497,Health Sciences Center,10
Seminar 468,Medical Research Building,15
6-35,Psychology Building,34
Studio D-15,Science Hall,29
Lab 67U,Science Hall,13
Seminar 364,Data Science Institute,22
Lab 38R,Science Hall,21
Seminar 185,Library West,16
1-34,Library West,22
4-06,Education Hall,41
Lecture Hall 93,Innovation Hub,279
Studio E-13,Law School,28
Seminar 112,Art & Design Studios,12
6-13,Education Hall,32
Lab 42,Computer Science Building,15
Lecture Hall 231,Computer Science Building,242
Lecture Hall 269,Music & Performing Arts,261
Studio W-6,Psychology Building,27
Seminar 122,Data Science Institute,22
Lab 73,Biology Annex,17
Lecture Hall 27,Physics Pavilion,187
Lab 58,Library West,15
Lab 1W,Physics Pavilion,12
Seminar 537,Education Hall,17
Lecture Hall 253,Data Science Institute,140
6-31,Mathematics Tower,32
Seminar 140,Health Sciences Center,19
Lecture Hall 126,Medical Research Building,220
6-14,Humanities Hall,19
Lecture Hall 29,Biology Annex,247
Lecture Hall 75,Music & Performing Arts,298
Lab 12,Science Hall,25
Lecture Hall 146,Biology Annex,236
5-12,Medical Research Building,32
Lab 5C,Law School,22
Seminar 519,Music & Performing Arts,11
Studio C-10,Health Sciences Center,30
Lecture Hall 141,Physics Pavilion,164
Seminar 368,Innovation Hub,13
1-07,Mathematics Tower,36
Lecture Hall 248,Innovation Hub,265
Lab 55W,Medical Research Building,20
5-23,Innovation Hub,22
4-34,Medical Research Building,41
Seminar 513,Athletics Complex,12
Lab 38,Medical Research Building,15
Seminar 420,Engineering Center,22
Lab 79Q,Chemistry Complex,13
Lab 72,Art & Design Studios,12
Lab 33C,Mathematics Tower,21
Studio M-1,Innovation Hub,18
Lecture Hall 100,Art & Design Studios,164
4-31,Art & Design Studios,43
2-31,Science Hall,22
Studio M-15,Education Hall,28
Studio K-19,Science Hall,25
Studio A-7,Data Science Institute,33
Lab 9E,Art & Design Studios,12
Seminar 420,Art & Design Studios,18
5-25,Biology Annex,23
Lecture Hall 158,Medical Research Building,260
Lecture Hall 140,Art & Design Studios,185
Seminar 549,Computer Science Building,13
Seminar 524,Music & Performing Arts,14
Studio K-6,Mathematics Tower,18
Lecture Hall 104,Music & Performing Arts,103
Studio A-16,Education Hall,31
Lab 44S,Physics Pavilion,22
Lecture Hall 265,Physics Pavilion,253
Lab 5R,Physics Pavilion,28
Lecture Hall 160,Chemistry Complex,91
Seminar 555,Medical Research Building,10
Studio Z-10,Chemistry Complex,15
Lab 27,Law School,18
Lab 69M,Library West,15
Lecture Hall 81,Humanities Hall,150
Lecture Hall 287,Chemistry Complex,211
Lab 70N,Chemistry Complex,20
Lab 74,Physics Pavilion,14
3-35,Library West,32
Lecture Hall 15,Science Hall,200
Lecture Hall 197,Science Hall,93
Seminar 300,Computer Science Building,12
6-29,Medical Research Building,37
Lab 43,Music & Performing Arts,26
Lecture Hall 48,Law School,288
Lecture Hall 234,Education Hall,159
Seminar 218,Education Hall,13
3-24,Physics Pavilion,30
3-21,Biology Annex,32
Seminar 157,Athletics Complex,15
Seminar 533,Athletics Complex,12
Lab 78,Library West,28
Seminar 518,Chemistry Complex,21
Lab 69R,Chemistry Complex,30
Lab 80,Health Sciences Center,27
Lecture Hall 175,Psychology Building,133
Seminar 501,Law School,16
Lab 70,Law School,14
Seminar 158,Law School,19
Seminar 266,Medical Research Building,18
Seminar 190,Chemistry Complex,14
5-25,Psychology Building,28
6-04,Athletics Complex,20
Lecture Hall 298,Mathematics Tower,273
Lecture Hall 77,Engineering Center,195
Lab 50W,Data Science Institute,18
3-20,Mathematics Tower,36
Seminar 467,Library West,24
Lecture Hall 299,Music & Performing Arts,82
Studio P-5,Medical Research Building,24
Lab 71,Science Hall,29
Lecture Hall 145,Music & Performing Arts,87
Seminar 459,Business Center,19
3-25,Psychology Building,30
Seminar 379,Psychology Building,13
Seminar 171,Biology Annex,13
Seminar 531,Data Science Institute,24
Seminar 178,Music & Performing Arts,14
Lecture Hall 6,Physics Pavilion,98
Lecture Hall 250,Engineering Center,248
Lecture Hall 44,Health Sciences Center,115
Seminar 557,Health Sciences Center,22
Seminar 419,Medical Research Building,12
Seminar 296,Education Hall,15
Lecture Hall 218,Business Center,234
4-16,Engineering Center,40
Lab 53U,Innovation Hub,13
4-24,Science Hall,21
Seminar 592,Law School,21
Lecture Hall 270,Computer Science Building,299
Seminar 364,Humanities Hall,11
1-16,Innovation Hub,33
6-35,Computer Science Building,43
Lab 79B,Law School,29
Seminar 332,Engineering Center,18
6-22,Athletics Complex,31
Lab 38,Music & Performing Arts,21
Lab 8X,Law School,30
Seminar 142,Biology Annex,12
Lecture Hall 143,Innovation Hub,144
3-18,Physics Pavilion,45
Lecture Hall 58,Humanities Hall,234
6-10,Biology Annex,39
Lab 23,Education Hall,27
Studio B-11,Biology Annex,17
2-32,Physics Pavilion,42
Seminar 221,Health Sciences Center,20
2-14,Education Hall,36
Lecture Hall 136,Music & Performing Arts,273
Lecture Hall 86,Chemistry Complex,198
Seminar 482,Psychology Building,22
Lab 49Z,Data Science Institute,27
Lecture Hall 272,Humanities Hall,191
Lab 58P,Engineering Center,28
Lecture Hall 273,Science Hall,243
Seminar 412,Music & Performing Arts,24
Lab 35,Humanities Hall,20
Seminar 336,Law School,22
5-13,Business Center,34
6-12,Art & Design Studios,28
Lecture Hall 5,Data Science Institute,292
Lecture Hall 211,Computer Science Building,105
Lecture Hall 229,Innovation Hub,169
Lab 33,Business Center,12
Lecture Hall 30,Medical Research Building,232
6-08,Mathematics Tower,40
Lecture Hall 67,Chemistry Complex,176
Lecture Hall 57,Law School,258
Lab 38,Biology Annex,26
Seminar 454,Humanities Hall,24
Lab 21C,Art & Design Studios,13
Seminar 270,Psychology Building,10
Lab 23,Humanities Hall,27
4-12,Mathematics Tower,38
Lecture Hall 74,Athletics Complex,218
Lab 79,Health Sciences Center,26
Lecture Hall 18,Humanities Hall,98
6-17,Computer Science Building,42
